#YYY/MM/DD HH:mm:SS.ss ET GT MAG  M    LAT       LON      DEPTH Q  EVID      NPH NGRM
2001/10/28 16:27:45.55 eq  l 3.98 l   33.92200 -118.27017  21.1 A  9716853  126 1642
2003/12/06 13:50:28.35 eq  l 3.39 l   34.09683 -117.30800  16.7 A 14008004  277 1931
2003/12/29 00:49:12.09 eq  l 3.53 l   33.97050 -117.81517  16.6 A  9970349  279 1893
2003/12/29 01:03:46.77 eq  l 3.18 l   33.97333 -117.81550  16.2 A  9970365  129 1883
2004/04/15 02:28:08.62 eq  l 3.35 l   33.94283 -116.99417  15.8 A 10000605  252 1931
2005/06/16 20:54:19.95 eq  l 3.65 h   34.05267 -117.02317  16.3 A 12196991   50 1870
2006/08/02 16:03:02.35 eq  l 3.31 l   34.11100 -117.31550  15.7 A 14244212  173 1860
2007/05/13 21:54:48.44 eq  l 3.04 l   34.20650 -118.57617  19.0 A 10247089  169 1997
2008/07/29 18:42:15.67 eq  l 5.44 w   33.94850 -117.76633  15.5 A 14383980  459 1889
2008/07/29 18:51:52.29 eq  l 3.80 l   33.95167 -117.80183  16.1 A 14384052  106 1899
2008/07/29 20:40:41.50 eq  l 3.64 l   33.94233 -117.74283  15.1 A 14384236  151 1912
2008/09/19 06:22:09.55 eq  l 3.09 l   33.96267 -117.78933  15.4 A 14393824  208 2028
2009/01/22 20:46:58.30 eq  l 3.06 l   34.20017 -118.55767  18.1 A 10372885  190 1898
2009/06/21 14:29:33.41 eq  l 3.28 l   34.11583 -117.32383  17.3 A 14477816  194 2004
2009/07/14 04:14:22.03 eq  l 3.08 l   33.92833 -118.35917  15.9 A 10438089  141 2044
2010/03/16 11:04:00.19 eq  l 4.44 l   33.99233 -118.08167  18.7 A 14601172  233 1969
2010/11/05 16:06:37.47 eq  l 3.71 l   33.77833 -118.15483  18.4 A 10833357  142 2027
2010/12/01 19:31:34.43 eq  l 3.22 l   34.01667 -117.22667  16.5 A 14889324  122 1963
2011/06/06 07:09:10.62 eq  l 3.40 l   33.91533 -118.27367  25.0 A 14996748  199 2058
2011/07/23 07:36:40.34 eq  l 3.16 l   33.87033 -118.28550  15.0 A 10980341   93 2073
2011/08/18 21:43:49.26 eq  l 3.14 l   33.77250 -118.14567  19.5 A 10995205   99 2143
2011/09/14 14:44:51.02 eq  l 4.14 l   33.95300 -117.07583  16.3 A 11006189  167 2211
2013/02/26 20:18:49.95 eq  l 3.56 l   34.02017 -117.22050  15.9 A 11249474  277 2483
2013/03/04 23:17:40.75 eq  l 3.47 l   34.03350 -117.24733  15.9 A 15293905  260 2447
2013/11/11 09:29:20.65 eq  l 3.09 l   34.01800 -117.23367  16.6 A 11390322  179 2403
2014/11/03 08:53:35.48 eq  l 3.29 l   34.01750 -117.23233  17.1 A 37284704  294 2689
2014/12/23 07:59:01.45 eq  l 3.06 l   34.01750 -117.22800  15.9 A 37298432  225 2649
2017/03/14 05:06:54.46 eq  l 3.61 w   34.03883 -117.23867  17.6 A 37828544  348 3128
2017/03/18 21:17:44.46 eq  l 3.49 l   34.04017 -117.23750  17.7 A 37607311  327 3123
2017/04/14 14:14:34.66 eq  l 3.11 l   34.03967 -117.24050  18.2 A 37857344  303 2464
2018/07/26 18:46:42.41 eq  l 3.06 l   34.00367 -117.01950  16.0 A 38230752  276 3070
2018/09/20 12:44:34.52 eq  l 3.43 l   34.10167 -117.31000  15.9 A 37361730  337 3227
2018/09/30 14:41:29.51 eq  l 3.61 l   34.00200 -117.01783  16.3 A 37374890  320 3228
2018/10/01 17:56:19.62 eq  l 3.48 l   34.00133 -117.01733  15.9 A 37376114  275 3225
2019/01/11 21:19:05.68 eq  l 3.14 l   33.91617 -117.79917  15.5 A 38422336  328 3159
2019/01/30 08:00:48.26 eq  l 3.20 l   34.02817 -117.22950  16.5 A 38211423  318 3221
2019/04/11 13:05:29.52 eq  l 3.40 l   34.11067 -117.31617  16.1 A 38542824  401 3271
2019/07/06 20:23:44.66 eq  l 3.02 l   34.01950 -117.21867  16.1 D 38467679  125 2315
2019/10/18 07:19:51.18 eq  l 3.54 l   33.89133 -118.21850  23.6 A 38905415  348 3447

# Number of events: 39
